sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
student_20;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_21;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_22;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_23;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_25;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_26;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_27;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_28;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_29;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_30;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_31;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_32;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_33;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_34;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_35;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_36;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_37;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_38;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_39;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_40;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_41;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_42;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_43;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_44;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_45;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_46;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_47;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_48;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_49;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_50;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_51;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_52;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_53;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_54;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_55;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_56;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_57;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_58;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_59;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_60;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_61;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_62;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_63;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_64;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_65;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_66;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_67;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_68;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_69;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_70;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_71;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_72;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_73;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_74;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_75;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_76;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_77;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_78;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_79;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_80;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_81;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_82;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_83;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_84;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_85;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_86;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_87;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_88;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_89;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_90;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_91;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_92;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_93;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_94;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_95;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_96;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_97;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_98;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_99;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_100;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_101;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_102;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_103;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_104;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_105;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_106;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_107;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_108;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_109;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_110;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_111;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_112;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_113;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_114;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_115;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_116;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_117;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_118;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_119;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_120;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_121;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_122;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_123;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_124;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_125;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_126;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_127;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_128;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_129;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_130;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_131;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_132;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_133;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_134;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_135;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_136;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_137;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_138;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_139;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_140;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_141;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_142;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_143;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_144;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_145;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_146;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_147;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_148;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_149;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_150;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_151;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_152;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_153;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_154;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_155;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_156;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_157;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_158;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_159;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_160;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_161;16;R;LE3;T;2;2;teacher;at_home;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
